"Brandon Allen, LA",@Jax,1st,--,--,--,--,--,--,--,--,--,--,0,4000,0,Sun 4:05,,,,,,,,,,,,,,
"Tyler Bray, KC",Pit,2nd,--,--,--,--,--,--,--,--,--,--,0,4000,0,Sun 4:25,,,,,,,,,,,,,,
"Teddy Bridgewater, Min",GB,11th,--,--,--,--,--,--,--,--,--,--,0,4000,0,Sun 1:00,,,,,,,,,,,,,,
"Kellen Clemens, LAC",@Oak,17th,--,--,--,--,--,--,--,--,--,--,0,4000,0,Sun 4:25,,,,,,,,,,,,,,
"Connor Cook, Oak",LAC,13th,--,--,--,--,--,--,--,--,--,--,0,4000,0,Sun 4:25,,,,,,,,,,,,,,
"Joshua Dobbs, Pit",@KC,26th,--,--,--,--,--,--,--,--,--,--,0,4000,0,Sun 4:25,,,,,,,,,,,,,,
"Ryan Griffin, TB",@Ari,25th,--,--,--,--,--,--,--,--,--,--,0,4000,0,Sun 4:05,,,,,,,,,,,,,,
"Christian Hackenberg, NYJ",NE,32nd,--,--,--,--,--,--,--,--,--,--,0,4000,0,Sun 1:00,,,,,,,,,,,,,,
"Taysom Hill, NO",Det,10th,--,--,--,--,--,--,--,--,--,--,0,4000,0,Sun 1:00,,,,,,,,,,,,,,
"Brad Kaaya, Car",Phi,22nd,--,--,--,--,--,--,--,--,--,--,0,4000,0,Thu 8:25,,,,,,,,,,,,,,
"Chad Kelly, Den",NYG,21st,--,--,--,--,--,--,--,--,--,--,0,4000,0,Sun 8:30,,,,,,,,,,,,,,
"Cody Kessler, Cle",@Hou,28th,--,--,--,--,--,--,--,--,--,--,0,4000,0,Sun 1:00,,,,,,,,,,,,,,
"Paxton Lynch, Den",NYG,21st,--,--,--,--,--,--,--,--,--,--,0,4000,0,Sun 8:30,,,,,,,,,,,,,,
"Ryan Mallett, Bal",Chi,14th,1,9,6,36,0,1,0,0,0,0,5.4,4000,1.36,Sun 1:00,,,,,,,,,,,,,,
"Bryce Petty, NYJ",NE,32nd,--,--,--,--,--,--,--,--,--,--,0,4000,0,Sun 1:00,,,,,,,,,,,,,,
"Mark Sanchez, Chi",@Bal,5th,--,--,--,--,--,--,--,--,--,--,0,4000,0,Sun 1:00,,,,,,,,,,,,,,
"Kyle Sloter, Min",GB,11th,--,--,--,--,--,--,--,--,--,--,0,4000,0,Sun 1:00,,,,,,,,,,,,,,
"Drew Stanton, Ari",TB,30th,--,--,--,--,--,--,--,--,--,--,0,4000,0,Sun 4:05,,,,,,,,,,,,,,
"Davis Webb, NYG",@Den,16th,--,--,--,--,--,--,--,--,--,--,0,4000,0,Sun 8:30,,,,,,,,,,,,,,
"Brandon Weeden, Ten",Ind,31st,--,--,--,--,--,--,--,--,--,--,0,4000,0,Mon 8:30,,,,,,,,,,,,,,
