"Rashard Higgins, Cle",NYJ,16th,3,9,105,21,0,4,0,0,0,6.6,3500,1.9,Sun 1:00
"Brandon LaFell, Cin",Buf,10th,4,10,76,17,0,0,0,0,0,4.4,3500,1.26,Sun 1:00
"JuJu Smith-Schuster, Pit",Jax,1st,4,8,102,14,2,0,0,0,0,7.5,3500,2.16,Sun 1:00
"Jaelen Strong, Jax",@Pit,3rd,2,0,0,0,0,0,0,0,0,0,3500,0,Sun 1:00
"Andre Holmes, Buf",@Cin,6th,4,6,35,8,2,0,0,0,0,5.4,3400,1.58,Sun 1:00
"Trent Taylor, SF",@Ind,29th,4,11,93,19,1,0,0,0,0,6.6,3400,1.93,Sun 1:00
"Adam Humphries, TB",NE,28th,3,14,156,20,0,0,0,0,0,9.9,3300,2.99,Thu 8:25
"Jeff Janis, GB",@Dal,24th,4,0,0,0,0,0,0,0,0,0,3300,0,Sun 4:25
"John Ross, Cin",Buf,10th,1,0,0,0,0,12,0,1,1,0.2,3300,0.06,Sun 1:00
"Taywan Taylor, Ten",@Mia,20th,4,5,72,7,0,21,0,0,0,3.6,3300,1.08,Sun 1:00
"Markus Wheaton, Chi",Min,26th,2,0,0,5,0,0,0,0,0,0,3300,0,Mon 8:30
"Albert Wilson, KC",@Hou,11th,4,14,140,16,1,6,0,0,0,8.7,3300,2.62,Sun 8:30
"Tyler Boyd, Cin",Buf,10th,3,4,37,7,0,0,0,0,0,2.6,3200,0.8,Sun 1:00
"Chris Conley, KC",@Hou,11th,4,8,129,13,0,0,0,0,0,5.2,3200,1.63,Sun 8:30
"Dontrelle Inman, LAC",@NYG,4th,3,2,9,4,0,0,0,0,0,1,3200,0.3,Sun 1:00
"Sammie Coates, Cle",NYJ,16th,2,0,0,4,0,0,0,0,0,0,3100,0,Sun 1:00
"Jordan Leslie, Cle",NYJ,16th,2,1,26,1,0,0,0,0,0,1.8,3100,0.58,Sun 1:00
"Cordarrelle Patterson, Oak",Bal,5th,4,9,48,10,0,69,1,0,0,6.7,3100,2.15,Sun 4:05
"Aldrick Robinson, SF",@Ind,29th,4,6,82,18,0,0,0,0,0,3.5,3100,1.15,Sun 1:00
"Deonte Thompson, Chi",Min,26th,4,11,125,18,1,0,0,1,0,7.4,3100,2.38,Mon 8:30
"Laquon Treadwell, Min",@Chi,23rd,4,5,42,10,0,0,0,0,0,2.3,3100,0.74,Mon 8:30
"Jared Abbrederis, Det",Car,15th,2,0,0,0,0,0,0,0,0,0,3000,0,Sun 1:00
"Rodney Adams, Min",@Chi,23rd,--,--,--,--,--,--,--,--,--,0,3000,0,Mon 8:30
"Kamar Aiken, Ind",SF,27th,4,6,47,17,0,0,0,0,0,2.7,3000,0.89,Sun 1:00
