"MarQueis Gray, Mia",@Atl,21st,4,0,0,1,0,0,0,0,0,0,2500,0,Sun 1:00,,,,,,,,,,,,,
"Virgil Green, Den",NYG,32nd,4,6,73,7,1,0,0,0,0,4.8,2500,1.93,Sun 8:30,,,,,,,,,,,,,
"Xavier Grimble, Pit",@KC,12th,5,0,0,0,0,0,0,0,0,0,2500,0,Sun 4:25,,,,,,,,,,,,,
"Jeff Heuerman, Den",NYG,32nd,4,2,35,3,0,0,0,0,0,1.4,2500,0.55,Sun 8:30,,,,,,,,,,,,,
"Tyler Higbee, LA",@Jax,23rd,5,10,166,21,0,0,0,0,0,5.3,2500,2.13,Sun 4:05,,,,,,,,,,,,,
"Josh Hill, NO",Det,19th,4,4,32,4,0,0,0,0,0,1.8,2500,0.72,Sun 1:00,,,,,,,,,,,,,
"Jacob Hollister, NE",@NYJ,7th,4,2,24,5,0,0,0,0,0,1.1,2500,0.44,Sun 1:00,,,,,,,,,,,,,
"Michael Hoomanawanui, NO",Det,19th,4,2,21,4,0,0,0,0,0,1,2500,0.41,Sun 1:00,,,,,,,,,,,,,
"Lance Kendricks, GB",@Min,25th,5,6,94,9,1,0,0,0,0,4.3,2500,1.71,Sun 1:00,,,,,,,,,,,,,
"Ben Koyack, Jax",LA,14th,5,0,0,1,0,0,0,0,0,0,2500,0,Sun 4:05,,,,,,,,,,,,,
"Henry Krieger Coble, Ind",@Ten,9th,1,0,0,0,0,0,0,0,0,0,2500,0,Mon 8:30,,,,,,,,,,,,,
"Matt LaCosse, NYG",@Den,27th,--,--,--,--,--,--,--,--,--,0,2500,0,Sun 8:30,,,,,,,,,,,,,
"Jordan Leggett, NYJ",NE,29th,1,0,0,0,0,0,0,0,0,0,2500,0,Sun 1:00,,,,,,,,,,,,,
"Chris Manhertz, Car",Phi,20th,5,0,0,0,0,0,0,0,0,0,2500,0,Thu 8:25,,,,,,,,,,,,,
"Vince Mayle, Bal",Chi,22nd,5,0,0,0,0,2,1,0,0,1.2,2500,0.5,Sun 1:00,,,,,,,,,,,,,
"Kevin McDermott, Min",GB,2nd,5,0,0,0,0,0,0,0,0,0,2500,0,Sun 1:00,,,,,,,,,,,,,
"Sean McGrath, LAC",@Oak,11th,4,1,10,1,0,0,0,0,0,0.5,2500,0.2,Sun 4:25,,,,,,,,,,,,,
"Ifeanyi Momah, Ari",TB,5th,5,1,46,2,0,0,0,0,0,1.1,2500,0.45,Sun 4:05,,,,,,,,,,,,,
"David Morgan, Min",GB,2nd,5,0,0,2,0,0,0,0,0,0,2500,0,Sun 1:00,,,,,,,,,,,,,
"Kyle Nelson, SF",@Was,30th,--,--,--,--,--,--,--,--,--,0,2500,0,Sun 1:00,,,,,,,,,,,,,
"Troy Niklas, Ari",TB,5th,5,2,26,4,0,0,0,0,0,0.9,2500,0.37,Sun 4:05,,,,,,,,,,,,,
"James O'Shaughnessy, Jax",LA,14th,5,2,30,4,0,0,0,0,0,1,2500,0.4,Sun 4:05,,,,,,,,,,,,,
"Niles Paul, Was",SF,1st,4,1,-3,2,0,0,0,0,0,0.2,2500,0.07,Sun 1:00,,,,,,,,,,,,,
"Logan Paulsen, SF",@Was,30th,5,0,0,1,0,0,0,0,0,0,2500,0,Sun 1:00,,,,,,,,,,,,,
"Michael Roberts, Det",@NO,16th,5,1,15,1,0,0,0,0,0,0.5,2500,0.2,Sun 1:00,,,,,,,,,,,,,
"Eric Saubert, Atl",Mia,28th,4,0,0,0,0,0,0,0,0,0,2500,0,Sun 1:00,,,,,,,,,,,,,
"Ricky Seals-Jones, Ari",TB,5th,3,0,0,1,0,0,0,0,0,0,2500,0,Sun 4:05,,,,,,,,,,,,,
"Adam Shaheen, Chi",@Bal,17th,5,1,2,1,1,0,0,0,0,1.4,2500,0.58,Sun 1:00,,,,,,,,,,,,,
"Dion Sims, Chi",@Bal,17th,5,4,56,9,0,0,0,0,0,1.9,2500,0.77,Sun 1:00,,,,,,,,,,,,,
"Lee Smith, Oak",LAC,3rd,5,3,24,3,0,0,0,0,0,1.1,2500,0.43,Sun 4:25,,,,,,,,,,,,,
"Jeremy Sprinkle, Was",SF,1st,2,0,0,0,0,0,0,0,0,0,2500,0,Sun 1:00,,,,,,,,,,,,,
"Luke Stocker, TB",@Ari,14th,4,0,0,0,0,0,0,0,0,0,2500,0,Sun 4:05,,,,,,,,,,,,,
"Phillip Supernaw, Ten",Ind,24th,5,3,19,3,1,0,0,0,0,2.2,2500,0.87,Mon 8:30,,,,,,,,,,,,,
"Randall Telfer, Cle",@Hou,26th,5,2,24,2,0,0,0,0,0,0.9,2500,0.35,Sun 1:00,,,,,,,,,,,,,
"Levine Toilolo, Atl",Mia,28th,4,3,21,4,0,0,0,0,0,1.3,2500,0.51,Sun 1:00,,,,,,,,,,,,,
"Eric Tomlinson, NYJ",NE,29th,3,3,59,4,0,0,0,0,0,3,2500,1.19,Sun 1:00,,,,,,,,,,,,,
"Ross Travis, KC",Pit,6th,5,2,26,4,0,0,0,1,0,0.9,2500,0.37,Sun 4:25,,,,,,,,,,,,,
"Clive Walford, Oak",LAC,3rd,5,2,6,2,0,0,0,0,0,0.5,2500,0.21,Sun 4:25,,,,,,,,,,,,,
"Brandon Williams, Ind",@Ten,9th,5,6,76,7,0,0,0,0,0,2.7,2500,1.09,Mon 8:30,,,,,,,,,,,,,
"Maxx Williams, Bal",Chi,22nd,2,5,26,5,0,2,0,0,0,3.9,2500,1.56,Sun 1:00,,,,,,,,,,,,,
"James Winchester, KC",Pit,6th,--,--,--,--,--,--,--,--,--,0,2500,0,Sun 4:25,,,,,,,,,,,,,
